사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,2호선,60,용두(동대문구청),32,0,1176,182,1555,963,4701,2285,8090,6409,4233,3503,3341,3068,3674,3289,3730,2804,3574,3399,3598,3719,3985,3952,4119,3930,4581,4285,5766,7446,2417,5263,1462,2623,1343,2797,898,2551,191,1244,0,19,0,0,0,0,0,0
Jun-21,3호선,61,지축,5,1,1802,1267,7260,4587,19406,3273,18944,3662,8601,2374,5715,2212,4937,2917,4680,3355,4704,3564,3999,3855,4836,4539,7011,6057,6805,8174,4380,15983,2426,12998,1496,8426,1003,6881,780,8480,356,2906,0,0,0,0,0,0,0,0
Jun-21,3호선,62,구파발,160,1,9550,1416,29979,10291,83927,23740,78506,29048,39140,25587,26352,24515,25618,20662,26542,22496,24588,23742,24199,24767,28066,25040,34684,29329,35147,38803,29399,66283,18030,58127,14465,31524,12811,28599,11075,28226,1787,17624,9,2247,1,8,0,0,0,0
Jun-21,3호선,63,연신내,296,10,26860,1735,51882,11362,131527,24692,156035,34384,85441,34640,54844,33488,50185,35144,52765,36521,49774,40119,46119,41108,46480,51861,55618,61750,49978,80640,46317,131479,31844,118732,25493,62232,26033,59101,23052,60026,3785,32943,1,1823,0,0,0,0,0,0
Jun-21,3호선,64,불광,27,0,9265,1100,19433,5769,51513,10723,60645,33290,33507,29822,23361,24288,21808,22695,22962,24188,23201,25684,23440,25093,23962,26909,26173,30083,27913,37436,29760,56061,16287,46305,12842,26200,11486,21929,8105,24407,1691,11492,3,300,0,0,0,0,0,0
Jun-21,3호선,65,녹번,21,0,9870,562,24508,4277,65972,7686,73801,18520,39600,10325,23898,8957,19813,9629,19213,11369,17620,11832,15717,13475,14855,15477,16051,23185,16890,31536,19117,57007,9197,49507,6932,27557,5732,25422,4583,27563,1007,12182,0,35,0,0,0,0,0,0
Jun-21,3호선,66,홍제,36,2,9492,1279,22780,9431,62571,11612,69383,23873,38986,17873,27635,16576,24546,15237,25846,17083,23683,18339,21898,19610,22366,23965,24006,29343,26057,36219,24874,58136,13147,48700,10440,26937,8573,25445,6711,25491,1367,12187,0,32,1,1,0,0,0,0
Jun-21,3호선,67,무악재,11,1,1854,307,5181,2424,14255,3023,16062,6015,9508,3265,6319,3098,5457,3295,5346,3498,4983,4024,4283,4197,4184,5383,4973,6419,5961,8435,6490,14813,2843,12401,2071,7011,1805,6665,1509,7341,314,3123,0,0,0,0,0,0,0,0
Jun-21,3호선,68,독립문,104,1,5139,808,5527,6171,15733,15261,18718,21078,13323,13617,11203,11860,10611,9393,11192,9066,10968,10746,11766,9476,12098,10140,15729,10798,14246,13118,16232,16472,7662,13308,5346,7899,4360,7244,3608,8345,677,3435,2,1890,0,1,0,0,0,0
Jun-21,3호선,69,경복궁(정부서울청사),33,1,2676,1654,5464,14019,13573,42972,19457,108110,17921,51467,13964,30611,16079,28699,19118,26928,22618,28638,27101,26109,32986,22810,42530,23769,59219,25005,93632,29893,37318,18649,29620,9853,33820,8749,24043,10001,2652,4259,6,127,0,2,0,0,0,0
Jun-21,3호선,70,안국,21,1,1619,1503,2991,20759,5742,91228,8093,99061,7139,57095,8439,32836,12552,33681,18676,30988,19805,32426,25564,28289,36331,23922,48897,21245,91279,20608,100316,20547,40520,9996,31318,4965,30634,4275,20379,4518,2424,1968,2,23,0,0,0,0,0,0
Jun-21,3호선,71,종로3가,14,1,569,1062,1084,5900,1535,15536,2012,45747,3174,45434,5130,29451,7771,22386,9346,21082,10558,19443,12370,18898,15739,17747,18862,15209,28569,15010,52193,14890,31410,7440,16336,2807,20520,2105,15924,1933,2388,1056,0,136,0,0,0,0,0,0
Jun-21,3호선,72,을지로3가,3,0,624,901,974,9052,1847,32198,3226,75007,3832,32215,4885,14996,6814,12402,8183,11867,10506,12252,12324,10512,13545,10538,16982,10890,36376,13771,64130,16139,25589,7866,16706,2921,19946,1951,18425,1907,2166,884,2,81,0,1,0,0,0,0
Jun-21,3호선,73,충무로,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,1,0,1,0,3,0,1,0,9,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
Jun-21,3호선,74,동대입구,21,1,1405,1088,2433,9641,5594,13634,7247,46603,5771,25041,4728,14299,5626,12062,7209,11237,8246,11382,10357,10019,12042,7723,15437,8540,33460,9180,31751,10616,14449,6427,9872,3599,11356,4264,10257,4613,1839,1817,1,172,0,0,0,0,0,0
Jun-21,3호선,75,약수,106,12,6058,965,10284,5871,25202,15914,38141,34514,25359,19856,17653,14339,16738,13652,17958,14492,17947,14476,17145,15744,18164,17133,21306,20975,24329,26615,32871,40029,16493,25921,13576,16467,14410,15837,12137,17491,2139,6136,5,1226,0,0,0,0,0,0
Jun-21,3호선,76,금호,45,20,4620,570,10025,2841,26544,5153,35292,9223,20998,6952,13329,6219,11315,6811,11474,7725,11003,8935,9678,9515,9583,11894,10368,13366,11493,19543,11479,30386,7063,21080,5478,14217,4806,12270,4165,15166,901,4700,0,1,0,1,0,0,0,0
Jun-21,3호선,77,옥수,230,19,2928,949,9181,4604,22987,9073,30149,14620,19365,10571,13559,8520,12415,9416,12449,10694,13236,11867,12656,12510,13681,14348,15480,17273,16947,22903,17596,33565,11145,25103,8746,15335,8386,14157,6968,16903,1668,5526,41,439,0,1,0,0,0,0
